overall_rank,name,position,team,pos_rank,total_vor,total_points,avg_next_two,draft_value
117,Justin Watson,WR,HOU,50,0.0,0.0,0.0,0.0
118,Romeo Doubs,WR,GB,51,0.0,0.0,0.0,0.0
119,Efton Chism,WR,NE,52,0.0,0.0,0.0,0.0
120,Demarcus Robinson,WR,SF,53,0.0,0.0,0.0,0.0
121,Jimmy Horn,WR,CAR,54,0.0,0.0,0.0,0.0
122,A.J. Dillon,RB,PHI,30,0.0,0.0,0.0,0.0
123,Kendrick Bourne,WR,SF,55,0.0,0.0,0.0,0.0
124,Jahdae Walker,WR,CHI,56,0.0,0.0,0.0,0.0
125,Tim Patrick,WR,JAX,57,0.0,0.0,0.0,0.0
126,LeQuint Allen,RB,JAX,31,0.0,0.0,0.0,0.0
127,Lil'Jordan Humphrey,WR,DEN,58,0.0,0.0,0.0,0.0
128,Hassan Haskins,RB,LAC,32,0.0,0.0,0.0,0.0
129,Tyler Badie,RB,DEN,33,0.0,0.0,0,0.0
130,Jalen Hurts,QB,PHI,11,0.0,0.0,0.0,0.0
131,Justin Herbert,QB,LAC,12,0.0,0.0,0.0,0.0
132,Jordan Love,QB,GB,13,0.0,0.0,0.0,0.0
133,Malik Willis,QB,GB,14,0.0,0.0,0.0,0.0
134,Mac Jones,QB,SF,15,0.0,0.0,0.0,0.0
135,Davis Mills,QB,HOU,16,0.0,0.0,0.0,0.0
136,Jake Tonges,TE,SF,29,0.0,0.0,0.0,0.0
137,Shane Buechele,QB,BUF,17,0.0,0.0,0.0,0.0
138,Andy Dalton,QB,CAR,18,0.0,0.0,0.0,0.0
139,Terrance Ferguson,TE,LAR,30,0.0,0.0,0.0,0.0
140,Hunter Long,TE,JAX,31,0.0,0.0,0,0.0
141,Mason Rudolph,QB,PIT,19,0.0,0.0,0,0.0
142,DK Metcalf,WR,PIT,59,0.0,0.0,0.0,0.0
143,Quentin Johnston,WR,LAC,60,0.0,0.0,0.0,0.0
144,Ladd McConkey,WR,LAC,61,0.0,0.0,0.0,0.0
145,Elijah Moore,WR,DEN,62,0.0,0.0,0.0,0.0
146,Ricky Pearsall,WR,SF,63,0.0,0.0,0.0,0.0
147,Tutu Atwell,WR,LAR,64,0.0,0.0,0.0,0.0
148,Dontayvion Wicks,WR,GB,65,0.0,0.0,0.0,0.0
149,Jared Wayne,WR,HOU,66,0.0,0.0,0.0,0.0
150,Dyami Brown,WR,JAX,67,0.0,0.0,0.0,0.0
151,Brandin Cooks,WR,BUF,68,0.0,0.0,0.0,0.0
152,Jakobie Keeney-James,WR,GB,69,0.0,0.0,0.0,0.0
153,Roman Wilson,WR,PIT,70,0.0,0.0,0,0.0
