name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
James Proche,WR,TEN,TEN (Wild Card),0.0,0.0,0.31,20.95,1.76,0,3.79,
Gabe Davis,WR,BUF,BUF (Wild Card),0.0,0.0,0.0,20.7,1.23,0,3.76,
A.J. Dillon,RB,PHI,PHI (Wild Card),0.0,0.0,19.81,5.59,0.63,0,3.76,
Rasheen Ali,RB,BAL,BAL (Wild Card),0.0,0.0,4.95,13.72,1.48,0,3.75,
David Sills,WR,ATL,ATL (Wild Card),0.0,0.0,0.06,19.15,1.6,0,3.74,
Christian Watson,WR,GB,GB (Wild Card),0.0,0.0,0.13,21.21,1.26,0,3.72,
Trayveon Williams,RB,CLE,CLE (Wild Card),0.0,0.0,10.07,10.49,1.27,0,3.65,
Joshua Palmer,WR,BUF,BUF (Wild Card),0.0,0.0,0.0,21.78,1.36,0,3.64,
DeAndre Hopkins,WR,BAL,BAL (Wild Card),0.0,0.0,0.0,19.64,1.35,0,3.6,
Ben Sinnott,TE,WAS,WAS (Wild Card),0.0,0.0,0.0,18.15,1.71,0,3.57,
Jackson Hawes,TE,BUF,BUF (Wild Card),0.0,0.0,0.0,17.72,1.52,0,3.55,
Jalen Brooks,WR,ARI,ARI (Wild Card),0.0,0.0,0.0,20.16,1.47,0,3.53,
Tyler Higbee,TE,LAR,LAR (Wild Card),0.0,0.0,0.0,16.62,1.66,0,3.51,
Keon Coleman,WR,BUF,BUF (Wild Card),0.0,0.0,0.13,18.99,1.27,0,3.51,
Bhayshul Tuten,RB,JAX,JAX (Wild Card),0.0,0.0,13.81,4.53,0.5,0,3.46,
Dalton Kincaid,TE,BUF,BUF (Wild Card),0.0,0.0,0.0,17.51,1.45,0,3.38,
Dawson Knox,TE,BUF,BUF (Wild Card),0.0,0.0,0.0,16.76,1.4,0,3.34,
Oronde Gadsden,TE,LAC,LAC (Wild Card),0.0,0.0,0.0,20.05,1.55,0,3.32,
Derius Davis,WR,LAC,LAC (Wild Card),0.0,0.0,2.01,15.18,1.51,0,3.31,
Stone Smartt,TE,NYJ,NYJ (Wild Card),0.0,0.0,0.0,18.17,1.79,0,3.31,
Scotty Miller,WR,PIT,PIT (Wild Card),0.0,0.0,0.01,17.83,1.45,0,3.29,
Justin Watson,WR,HOU,HOU (Wild Card),0.0,0.0,0.0,18.59,1.17,0,3.28,
Ray Davis,RB,BUF,BUF (Wild Card),0.0,0.0,8.43,8.4,0.91,0,3.22,
Tyler Conklin,TE,LAC,LAC (Wild Card),0.0,0.0,0.0,17.59,1.7,0,3.21,
Noah Fant,TE,CIN,CIN (Wild Card),0.0,0.0,0.0,15.73,1.58,0,3.2,
Romeo Doubs,WR,GB,GB (Wild Card),0.0,0.0,0.12,16.57,1.34,0,3.12,
John Bates,TE,WAS,WAS (Wild Card),0.0,0.0,0.0,16.35,1.52,0,3.06,
Jeremy Ruckert,TE,NYJ,NYJ (Wild Card),0.0,0.0,0.0,14.8,1.88,0,3.02,
Efton Chism,WR,NE,NE (Wild Card),0.0,0.0,0.01,15.48,1.3,0,2.98,
LeQuint Allen,RB,JAX,JAX (Wild Card),0.0,0.0,7.43,8.9,1.1,0,2.96,
Kalif Raymond,WR,DET,DET (Wild Card),0.0,0.0,1.29,15.69,1.15,0,2.93,
Nick Westbrook-Ikhine,WR,MIA,MIA (Wild Card),0.0,0.0,0.0,15.5,1.19,0,2.92,
Kylen Granson,TE,PHI,PHI (Wild Card),0.0,0.0,0.0,15.8,1.36,0,2.92,
Mitchell Evans,TE,CAR,CAR (Wild Card),0.0,0.0,0.01,14.48,1.49,0,2.91,
Ronnie Bell,WR,NO,NO (Wild Card),0.0,0.0,0.0,15.84,1.29,0,2.89,
Luke Musgrave,TE,GB,GB (Wild Card),0.0,0.0,0.0,16.07,1.73,0,2.83,
Demarcus Robinson,WR,SF,SF (Wild Card),0.0,0.0,0.0,14.99,1.02,0,2.79,
Elijah Higgins,TE,ARI,ARI (Wild Card),0.0,0.0,0.0,15.24,1.58,0,2.79,
Julian Hill,TE,MIA,MIA (Wild Card),0.0,0.0,0.0,14.82,1.54,0,2.73,
Donovan Edwards,RB,MIA,MIA (Wild Card),0.0,0.0,11.4,4.64,0.54,0,2.65,
Noah Gray,TE,KC,KC (Wild Card),0.0,0.0,0.1,13.08,1.48,0,2.6,
