name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Efton Chism,WR,NE,2.98,1.0,2.98,-8.89,0
Ty Chandler,RB,MIN,4.68,1.0,4.68,-8.9,0
Kalif Raymond,WR,DET,2.93,1.0,2.93,-8.94,0
Nick Westbrook-Ikhine,WR,MIA,2.92,1.0,2.92,-8.95,0
Ronnie Bell,WR,NO,2.89,1.0,2.89,-8.98,0
Ty Johnson,RB,BUF,4.58,1.0,4.58,-9.0,0
Dameon Pierce,RB,KC,4.54,1.0,4.54,-9.04,0
Demarcus Robinson,WR,SF,2.79,1.0,2.79,-9.08,0
Evan Hull,RB,NO,4.38,1.0,4.38,-9.2,0
Rachaad White,RB,TB,4.37,1.0,4.37,-9.21,0
Samori Toure,WR,NO,2.57,1.0,2.57,-9.3,0
Dont'e Thornton,WR,LV,2.47,1.0,2.47,-9.4,0
Sean Tucker,RB,TB,4.16,1.0,4.16,-9.42,0
Devontez Walker,WR,BAL,2.33,1.0,2.33,-9.54,0
Jalen Tolbert,WR,DAL,2.3,1.0,2.3,-9.57,0
Chris Moore,WR,WAS,2.21,1.0,2.21,-9.66,0
Gage Larvadain,WR,CLE,2.2,1.0,2.2,-9.67,0
Jimmy Horn,WR,CAR,2.19,1.0,2.19,-9.68,0
Jeremy McNichols,RB,WAS,3.84,1.0,3.84,-9.74,0
A.J. Dillon,RB,PHI,3.76,1.0,3.76,-9.82,0
Rasheen Ali,RB,BAL,3.75,1.0,3.75,-9.83,0
Kendrick Bourne,WR,SF,1.99,1.0,1.99,-9.88,0
Trayveon Williams,RB,CLE,3.65,1.0,3.65,-9.93,0
Bhayshul Tuten,RB,JAX,3.46,1.0,3.46,-10.12,0
Jahdae Walker,WR,CHI,1.66,1.0,1.66,-10.21,0
Ray Davis,RB,BUF,3.22,1.0,3.22,-10.36,0
Tez Johnson,WR,TB,1.46,1.0,1.46,-10.41,0
Tahj Washington,WR,MIA,1.44,1.0,1.44,-10.43,0
Tim Patrick,WR,JAX,1.37,1.0,1.37,-10.5,0
LeQuint Allen,RB,JAX,2.96,1.0,2.96,-10.62,0
Donovan Edwards,RB,MIA,2.65,1.0,2.65,-10.93,0
Brian Robinson,RB,SF,2.33,1.0,2.33,-11.25,0
Corey Kiner,RB,ARI,2.31,1.0,2.31,-11.27,0
Ameer Abdullah,RB,IND,1.77,1.0,1.77,-11.81,0
Jaxon Smith-Njigba,WR,SEA,17.75,0.0,0.0,-11.87,0
Courtland Sutton,WR,DEN,10.52,0.0,0.0,-11.87,1
Cooper Kupp,WR,SEA,7.41,0.0,0.0,-11.87,0
Marvin Mims,WR,DEN,5.98,0.0,0.0,-11.87,0
Rashid Shaheed,WR,SEA,5.7,0.0,0.0,-11.87,0
Troy Franklin,WR,DEN,5.29,0.0,0.0,-11.87,0
Lil'Jordan Humphrey,WR,DEN,4.72,0.0,0.0,-11.87,0
Michael Bandy,WR,DEN,1.33,0.0,0.0,-11.87,0
Zavier Scott,RB,MIN,1.61,1.0,1.61,-11.97,0
Hassan Haskins,RB,LAC,1.59,1.0,1.59,-11.99,0
Zamir White,RB,LV,1.35,1.0,1.35,-12.23,0
DJ Giddens,RB,IND,1.33,1.0,1.33,-12.25,0
RJ Harvey,RB,DEN,13.43,0.0,0.0,-13.58,0
Kenneth Walker,RB,SEA,11.12,0.0,0.0,-13.58,0
Zach Charbonnet,RB,SEA,9.32,0.0,0.0,-13.58,0
Jaleel McLaughlin,RB,DEN,4.17,0.0,0.0,-13.58,0
Tyler Badie,RB,DEN,2.46,0.0,0.0,-13.58,0
