name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Jawhar Jordan,RB,HOU,HOU (Divisional),0.0,0.0,48.2,8.5,1.8,0,6.55,4
Rashid Shaheed,WR,SEA,SEA (Divisional),0.0,0.0,3.8,38.2,3.3,0,6.51,18
Keon Coleman,WR,BUF,BUF (Divisional),0.0,0.0,0.0,31.1,2.9,0,6.42,13
Jayden Higgins,WR,HOU,HOU (Divisional),0.0,0.0,0.0,30.9,2.4,0,6.41,17
Michael Carter,RB,ARI,ARI (Divisional),0.0,0.0,25.6,20.5,2.5,0,6.35,13
Xavier Worthy,WR,KC,KC (Divisional),0.0,0.0,6.2,38.0,3.0,0,6.35,14
Mark Andrews,TE,BAL,BAL (Divisional),0.0,0.0,2.8,24.8,2.8,0,6.29,17
Albert Okwuegbunam,TE,LV,LV (Divisional),0.0,0.0,0.0,36.0,5.0,0,6.1,1
Audric Estime,RB,NO,NO (Divisional),0.0,0.0,28.3,14.7,1.7,0,6.01,7
Elic Ayomanor,WR,TEN,TEN (Divisional),0.0,0.0,0.0,32.2,2.6,0,6.0,16
Isiah Pacheco,RB,KC,KC (Divisional),0.0,0.0,35.5,7.8,1.5,0,5.98,13
Jalen McMillan,WR,TB,TB (Divisional),0.0,0.0,0.2,44.5,3.0,0,5.98,4
Ryan Flournoy,WR,DAL,DAL (Divisional),0.0,0.0,1.6,29.7,2.5,0,5.88,16
Tyler Higbee,TE,LAR,LAR (Divisional),0.0,0.0,0.0,28.1,2.5,0,5.86,10
T.J. Hockenson,TE,MIN,MIN (Divisional),0.0,0.0,0.0,29.2,3.4,0,5.82,15
David Njoku,TE,CLE,CLE (Divisional),0.0,0.0,0.0,24.4,2.8,0,5.82,12
Cooper Kupp,WR,SEA,SEA (Divisional),0.0,0.0,0.0,37.1,2.9,0,5.8,16
Cade Otton,TE,TB,TB (Divisional),0.0,0.0,0.0,35.8,3.7,0,5.79,16
Jerry Jeudy,WR,CLE,CLE (Divisional),0.0,0.0,0.3,35.4,2.9,0,5.75,17
Devin Singletary,RB,NYG,NYG (Divisional),0.0,0.0,25.7,8.9,1.1,0,5.75,17
Bhayshul Tuten,RB,JAX,JAX (Divisional),0.0,0.0,20.5,5.3,0.7,0,5.71,15
Brady Cook,QB,NYJ,NYJ (Divisional),147.8,0.4,9.8,0.0,0.0,0,5.69,5
Chig Okonkwo,TE,TEN,TEN (Divisional),0.0,0.0,0.0,32.9,3.3,0,5.65,17
Darius Slayton,WR,NYG,NYG (Divisional),0.0,0.0,0.0,38.4,2.6,0,5.59,14
Jayden Reed,WR,GB,GB (Divisional),0.0,0.0,4.0,29.6,2.7,0,5.57,7
Pat Freiermuth,TE,PIT,PIT (Divisional),0.0,0.0,0.0,28.6,2.4,0,5.48,17
Nick Chubb,RB,HOU,HOU (Divisional),0.0,0.0,33.7,4.5,0.9,0,5.45,15
Chimere Dike,WR,TEN,TEN (Divisional),0.0,0.0,1.1,24.9,2.8,0,5.42,17
Malik Washington,WR,MIA,MIA (Divisional),0.0,0.0,6.5,18.6,2.7,0,5.28,17
Josh Johnson,QB,WAS,WAS (Divisional),74.4,0.2,11.0,0.0,0.0,0,5.28,5
Ty Johnson,RB,BUF,BUF (Divisional),0.0,0.0,11.8,15.5,1.4,0,5.19,17
Greg Dulcich,TE,MIA,MIA (Divisional),0.0,0.0,-0.7,33.5,2.6,0,5.18,10
Sean Tucker,RB,TB,TB (Divisional),0.0,0.0,18.8,2.0,0.5,0,5.14,17
Chris Oladokun,QB,KC,KC (Divisional),78.3,0.33,6.0,0.0,0.0,0,5.07,3
Calvin Austin,WR,PIT,PIT (Divisional),0.0,0.0,0.0,26.6,2.2,0,5.05,14
Emanuel Wilson,RB,GB,GB (Divisional),0.0,0.0,29.2,5.8,0.9,0,5.0,17
Sterling Shepard,WR,TB,TB (Divisional),0.0,0.0,1.5,28.5,3.0,0,4.96,13
