name,position,team,half_ppr_points,vor
Joshua Palmer,WR,BUF,3.44,-6.17
Rashod Bateman,WR,BAL,3.38,-6.2299999999999995
Christian Kirk,WR,HOU,3.38,-6.2299999999999995
JuJu Smith-Schuster,WR,KC,3.35,-6.26
Kevin Austin,WR,NO,3.31,-6.299999999999999
DeAndre Hopkins,WR,BAL,3.29,-6.319999999999999
Jaylin Noel,WR,HOU,3.26,-6.35
Kalif Raymond,WR,DET,3.25,-6.359999999999999
Michael Bandy,WR,DEN,3.25,-6.359999999999999
Demarcus Robinson,WR,SF,3.23,-6.379999999999999
Isaiah Hodgins,WR,NYG,3.21,-6.3999999999999995
Tre' Harris,WR,LAC,3.2,-6.409999999999999
Emari Demercado,RB,ARI,4.14,-6.45
J.J. McCarthy,QB,MIN,12.74,-6.450000000000001
Jaret Patterson,RB,LAC,4.03,-6.56
Tyler Lockett,WR,LV,3.01,-6.6
Jaydon Blue,RB,DAL,3.98,-6.609999999999999
Treylon Burks,WR,WAS,3.0,-6.609999999999999
Jacoby Jones,WR,WAS,3.0,-6.609999999999999
Jared Wayne,WR,HOU,3.0,-6.609999999999999
Dyami Brown,WR,JAX,2.98,-6.629999999999999
Keaton Mitchell,RB,BAL,3.92,-6.67
Devontez Walker,WR,BAL,2.88,-6.7299999999999995
Isaiah Bond,WR,CLE,2.86,-6.75
Tutu Atwell,WR,LAR,2.82,-6.789999999999999
Lil'Jordan Humphrey,WR,DEN,2.81,-6.799999999999999
Xavier Restrepo,WR,TEN,2.8,-6.81
Shedrick Jackson,WR,LV,2.78,-6.83
Tim Patrick,WR,JAX,2.76,-6.85
Jalen Tolbert,WR,DAL,2.72,-6.889999999999999
Jaleel McLaughlin,RB,DEN,3.67,-6.92
Elijah Moore,WR,DEN,2.68,-6.93
Brandin Cooks,WR,BUF,2.66,-6.949999999999999
Roman Wilson,WR,PIT,2.66,-6.949999999999999
Tyler Johnson,WR,NYJ,2.64,-6.969999999999999
Jahdae Walker,WR,CHI,2.63,-6.9799999999999995
Robbie Chosen,WR,WAS,2.6,-7.01
Kyle Williams,WR,NE,2.6,-7.01
Jeremy McNichols,RB,WAS,3.54,-7.05
Marquez Valdes-Scantling,WR,PIT,2.5,-7.109999999999999
Jakobie Keeney-James,WR,GB,2.5,-7.109999999999999
Xavier Smith,WR,LAR,2.46,-7.1499999999999995
Brian Robinson,RB,SF,3.44,-7.15
Jahan Dotson,WR,PHI,2.42,-7.1899999999999995
Mac Jones,QB,SF,12.0,-7.190000000000001
Isaiah Williams,WR,NYJ,2.38,-7.2299999999999995
Chris Moore,WR,WAS,2.36,-7.25
David Sills,WR,ATL,2.36,-7.25
Brittain Brown,RB,CHI,3.23,-7.359999999999999
Cam Ward,QB,TEN,11.8,-7.390000000000001
Marcus Mariota,QB,WAS,11.77,-7.420000000000002
Ray Davis,RB,BUF,3.12,-7.47
Tank Bigsby,RB,PHI,3.08,-7.51
Brashard Smith,RB,KC,2.99,-7.6
Geno Smith,QB,LV,11.59,-7.600000000000001
Ollie Gordon,RB,MIA,2.98,-7.609999999999999
Tua Tagovailoa,QB,MIA,11.48,-7.710000000000001
Joe Flacco,QB,CIN,11.44,-7.750000000000002
Spencer Rattler,QB,NO,11.4,-7.790000000000001
Davis Mills,QB,HOU,11.1,-8.090000000000002
Ty Chandler,RB,MIN,2.43,-8.16
Ameer Abdullah,RB,IND,2.3,-8.29
Shedeur Sanders,QB,CLE,10.86,-8.330000000000002
Kirk Cousins,QB,ATL,10.55,-8.64
Philip Rivers,QB,IND,10.55,-8.64
Tyrod Taylor,QB,NYJ,10.24,-8.950000000000001
Jake Browning,QB,CIN,9.75,-9.440000000000001
Russell Wilson,QB,NYG,8.31,-10.88
Quinn Ewers,QB,MIA,8.17,-11.020000000000001
Tyler Huntley,QB,BAL,8.03,-11.160000000000002
Mitchell Trubisky,QB,BUF,7.28,-11.91
Dillon Gabriel,QB,CLE,7.01,-12.180000000000001
Riley Leonard,QB,IND,6.6,-12.590000000000002
Brady Cook,QB,NYJ,5.69,-13.5
Josh Johnson,QB,WAS,5.28,-13.91
Chris Oladokun,QB,KC,5.07,-14.120000000000001
Aidan O'Connell,QB,LV,4.78,-14.41
Shane Buechele,QB,BUF,3.92,-15.270000000000001
Trey Lance,QB,LAC,3.89,-15.3
Tanner McKee,QB,PHI,3.44,-15.750000000000002
Andy Dalton,QB,CAR,3.38,-15.810000000000002
Joe Milton,QB,DAL,3.08,-16.11
Mason Rudolph,QB,PIT,2.83,-16.36
